AÑO,ARTICULO,GRAMOS POR PERSONAS,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2005,Leche Fluida *,106,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2005,Frutas 3_ /,157,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.08,0.07,0.07
2005,Frijoles,79,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.1
2005,Verduras 4_ /,127,0.11,0.11,0.11,0.1,0.11,0.12,0.13,0.13,0.13,0.15,0.13,0.12
2005,Azúcar,69,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2006,Pan Francés,49,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.08,0.08
2006,Tortillas,223,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13
2006,Arroz,55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2006,Carnes 1_ /,60,0.29,0.29,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2006,Grasas 2 _ /,33,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
2006,Huevos,28,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
2006,Leche Fluida *,106,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2006,Frutas 3_ /,157,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08
2006,Frijoles,79,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09
2006,Verduras 4_ /,127,0.1,0.09,0.09,0.1,0.1,0.11,0.12,0.11,0.1,0.1,0.12,0.15
2006,Azúcar,69,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2007,Pan Francés,49,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09
2007,Tortillas,223,0.13,0.12,0.13,0.13,0.13,0.15,0.16,0.16,0.16,0.16,0.16,0.15
2007,Arroz,55,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06
2007,Carnes 1_ /,60,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.32
2007,Grasas 2 _ /,33,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
2007,Huevos,28,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07
2007,Leche Fluida *,106,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
